x_mm,y_mm
5.4000,4.1000
7.6000,4.1000
7.6000,5.5000
8.0000,5.5000
8.0000,4.1000
8.4000,4.1000
8.4000,5.5000
8.8000,5.5000
8.8000,4.1000
9.2000,4.1000
9.2000,5.5000
9.6000,5.5000
9.6000,4.1000
10.0000,4.1000
10.0000,5.5000
10.4000,5.5000
10.4000,4.1000
10.8000,4.1000
10.8000,5.5000
11.2000,5.5000
11.2000,4.1000
11.6000,4.1000
11.6000,5.5000
12.0000,5.5000
12.0000,4.1000
12.4000,4.1000
12.4000,5.5000
12.8000,5.5000
12.8000,4.1000
13.2000,4.1000
13.2000,5.5000
13.6000,5.5000
13.6000,4.1000
14.0000,4.1000
14.0000,5.5000
14.4000,5.5000
14.4000,4.1000
14.8000,4.1000
14.8000,5.5000
15.2000,5.5000
15.2000,4.1000
15.6000,4.1000
15.6000,5.5000
16.0000,5.5000
16.0000,4.1000
16.4000,4.1000
16.4000,5.5000
16.8000,5.5000
16.8000,4.1000
17.2000,4.1000
17.2000,5.5000
17.6000,5.5000
17.6000,4.1000
18.0000,4.1000
18.0000,5.5000
18.4000,5.5000
18.4000,4.1000
18.8000,4.1000
18.8000,5.5000
19.2000,5.5000
19.2000,4.1000
19.6000,4.1000
19.6000,5.5000
20.0000,5.5000
20.0000,4.1000
20.4000,4.1000
20.4000,5.5000
20.8000,5.5000
20.8000,4.1000
21.2000,4.1000
21.2000,5.5000
21.6000,5.5000
21.6000,4.1000
22.0000,4.1000
22.0000,5.5000
22.4000,5.5000
22.4000,4.1000
22.8000,4.1000
22.8000,5.5000
23.2000,5.5000
23.2000,4.1000
23.6000,4.1000
23.6000,5.5000
24.0000,5.5000
24.0000,4.1000
24.4000,4.1000
24.4000,5.5000
24.7000,5.9000
23.3000,5.9000
23.3000,6.3000
24.7000,6.3000
24.7000,6.7000
23.3000,6.7000
23.3000,7.1000
24.7000,7.1000
24.7000,7.7000
24.7000,9.1000
24.3000,9.1000
24.3000,7.7000
23.9000,7.7000
23.9000,9.1000
23.5000,9.1000
23.5000,7.7000
23.1000,7.7000
23.1000,9.1000
22.7000,9.1000
22.7000,7.7000
22.3000,7.7000
22.3000,9.1000
21.9000,9.1000
21.9000,7.7000
21.5000,7.7000
21.5000,9.1000
21.1000,9.1000
21.1000,7.7000
20.7000,7.7000
20.7000,9.1000
20.3000,9.1000
20.3000,7.7000
19.9000,7.7000
19.9000,9.1000
19.5000,9.1000
19.5000,7.7000
19.1000,7.7000
19.1000,9.1000
18.7000,9.1000
18.7000,7.7000
18.3000,7.7000
18.3000,9.1000
17.9000,9.1000
17.9000,7.7000
17.5000,7.7000
17.5000,9.1000
17.1000,9.1000
17.1000,7.7000
16.7000,7.7000
16.7000,9.1000
16.3000,9.1000
16.3000,7.7000
15.9000,7.7000
15.9000,9.1000
15.5000,9.1000
15.5000,7.7000
15.1000,7.7000
15.1000,9.1000
14.7000,9.1000
14.7000,7.7000
14.3000,7.7000
14.3000,9.1000
13.9000,9.1000
13.9000,7.7000
13.5000,7.7000
13.5000,9.1000
13.1000,9.1000
13.1000,7.7000
12.7000,7.7000
12.7000,9.1000
12.3000,9.1000
12.3000,7.7000
11.9000,7.7000
11.9000,9.1000
11.5000,9.1000
11.5000,7.7000
11.1000,7.7000
11.1000,9.1000
10.7000,9.1000
10.7000,7.7000
10.3000,7.7000
10.3000,9.1000
9.9000,9.1000
9.9000,7.7000
9.5000,7.7000
9.5000,9.1000
9.1000,9.1000
9.1000,7.7000
8.7000,7.7000
8.7000,9.1000
8.3000,9.1000
8.3000,7.7000
7.9000,7.7000
7.9000,9.1000
7.5000,9.1000
7.5000,7.7000
7.1000,7.7000
7.1000,9.1000
6.7000,9.1000
6.7000,7.7000
6.3000,7.7000
6.3000,9.1000
5.9000,9.1000
5.9000,7.7000
5.5000,7.7000
5.5000,9.1000
5.3000,9.5000
6.7000,9.5000
6.7000,9.9000
5.3000,9.9000
5.3000,10.3000
6.7000,10.3000
6.7000,10.7000
5.3000,10.7000
5.3000,11.3000
5.3000,12.7000
5.7000,12.7000
5.7000,11.3000
6.1000,11.3000
6.1000,12.7000
6.5000,12.7000
6.5000,11.3000
6.9000,11.3000
6.9000,12.7000
7.3000,12.7000
7.3000,11.3000
7.7000,11.3000
7.7000,12.7000
8.1000,12.7000
8.1000,11.3000
8.5000,11.3000
8.5000,12.7000
8.9000,12.7000
8.9000,11.3000
9.3000,11.3000
9.3000,12.7000
9.7000,12.7000
9.7000,11.3000
10.1000,11.3000
10.1000,12.7000
10.5000,12.7000
10.5000,11.3000
10.9000,11.3000
10.9000,12.7000
11.3000,12.7000
11.3000,11.3000
11.7000,11.3000
11.7000,12.7000
12.1000,12.7000
12.1000,11.3000
12.5000,11.3000
12.5000,12.7000
12.9000,12.7000
12.9000,11.3000
13.3000,11.3000
13.3000,12.7000
13.7000,12.7000
13.7000,11.3000
14.1000,11.3000
14.1000,12.7000
14.5000,12.7000
14.5000,11.3000
14.9000,11.3000
14.9000,12.7000
15.3000,12.7000
15.3000,11.3000
15.7000,11.3000
15.7000,12.7000
16.1000,12.7000
16.1000,11.3000
16.5000,11.3000
16.5000,12.7000
16.9000,12.7000
16.9000,11.3000
17.3000,11.3000
17.3000,12.7000
17.7000,12.7000
17.7000,11.3000
18.1000,11.3000
18.1000,12.7000
18.5000,12.7000
18.5000,11.3000
18.9000,11.3000
18.9000,12.7000
19.3000,12.7000
19.3000,11.3000
19.7000,11.3000
19.7000,12.7000
20.1000,12.7000
20.1000,11.3000
20.5000,11.3000
20.5000,12.7000
20.9000,12.7000
20.9000,11.3000
21.3000,11.3000
21.3000,12.7000
21.7000,12.7000
21.7000,11.3000
22.1000,11.3000
22.1000,12.7000
22.5000,12.7000
22.5000,11.3000
22.9000,11.3000
22.9000,12.7000
23.3000,12.7000
23.3000,11.3000
23.7000,11.3000
23.7000,12.7000
24.1000,12.7000
24.1000,11.3000
24.5000,11.3000
24.5000,12.7000
24.7000,13.1000
23.3000,13.1000
23.3000,13.5000
24.7000,13.5000
24.7000,13.9000
23.3000,13.9000
23.3000,14.3000
24.7000,14.3000
24.7000,14.9000
24.7000,16.3000
24.3000,16.3000
24.3000,14.9000
23.9000,14.9000
23.9000,16.3000
23.5000,16.3000
23.5000,14.9000
23.1000,14.9000
23.1000,16.3000
22.7000,16.3000
22.7000,14.9000
22.3000,14.9000
22.3000,16.3000
21.9000,16.3000
21.9000,14.9000
21.5000,14.9000
21.5000,16.3000
21.1000,16.3000
21.1000,14.9000
20.7000,14.9000
20.7000,16.3000
20.3000,16.3000
20.3000,14.9000
19.9000,14.9000
19.9000,16.3000
19.5000,16.3000
19.5000,14.9000
19.1000,14.9000
19.1000,16.3000
18.7000,16.3000
18.7000,14.9000
18.3000,14.9000
18.3000,16.3000
17.9000,16.3000
17.9000,14.9000
17.5000,14.9000
17.5000,16.3000
17.1000,16.3000
17.1000,14.9000
16.7000,14.9000
16.7000,16.3000
16.3000,16.3000
16.3000,14.9000
15.9000,14.9000
15.9000,16.3000
15.5000,16.3000
15.5000,14.9000
15.1000,14.9000
15.1000,16.3000
14.7000,16.3000
14.7000,14.9000
14.3000,14.9000
14.3000,16.3000
13.9000,16.3000
13.9000,14.9000
13.5000,14.9000
13.5000,16.3000
13.1000,16.3000
13.1000,14.9000
12.7000,14.9000
12.7000,16.3000
12.3000,16.3000
12.3000,14.9000
11.9000,14.9000
11.9000,16.3000
11.5000,16.3000
11.5000,14.9000
